央视频道,#genre#
BRTV纪实科教,http://114.254.35.75:18888/rtp/239.3.1.115:8000
BRTV纪实科教,http://101.17.192.171:8007/rtp/239.253.93.190:6358
纪实人文,http://114.254.35.75:18888/rtp/239.3.1.212:8060
纪实人文,http://101.17.192.171:8007/rtp/239.253.92.99:6013
纪实人文,http://106.113.149.200:2222/rtp/239.254.200.58:8060
金鹰纪实,http://114.254.35.75:18888/rtp/239.3.1.58:8156
金鹰纪实,http://106.113.149.200:2222/rtp/239.254.200.189:6293
金鹰纪实,http://101.17.192.171:8007/rtp/239.253.92.103:6054
法治天地,http://101.17.192.171:8007/rtp/239.253.93.241:6419
法治天地,http://106.113.149.200:2222/rtp/239.254.201.183:7226
生活时尚,http://101.17.192.171:8007/rtp/239.253.93.226:6404
生活时尚,http://106.113.149.200:2222/rtp/239.254.201.166:6359
女性时尚,http://106.113.149.200:2222/rtp/239.254.201.228:7255
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.144:6114
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.249:6103
女性时尚,http://106.113.149.200:2222/rtp/239.254.200.110:6241
早期教育,http://101.17.192.171:8007/rtp/239.253.93.164:6440
早期教育,http://106.113.149.200:2222/rtp/239.254.201.230:7253
早期教育,http://106.113.149.200:2222/rtp/239.254.200.114:6244
早期教育,http://101.17.192.171:8007/rtp/239.253.92.39:6107
中学生,http://106.113.149.200:2222/rtp/239.254.200.113:6243
中学生,http://101.17.192.171:8007/rtp/239.253.92.27:6106
国学,http://106.113.149.200:2222/rtp/239.254.200.107:6255
国学,http://114.254.35.75:18888/rtp/239.3.1.77:4120
国学,http://101.17.192.171:8007/rtp/239.253.92.158:8071
金色学堂,http://101.17.192.171:8007/rtp/239.253.93.240:6418
金色学堂,http://106.113.149.200:2222/rtp/239.254.201.182:7227
kaku 少儿,http://101.17.192.171:8007/rtp/239.253.92.162:8054
kaku 少儿,http://106.113.149.200:2222/rtp/239.254.200.91:9248
优优宝贝,http://106.113.149.200:2222/rtp/239.254.201.186:6272
优优宝贝,http://101.17.192.171:8007/rtp/239.253.93.244:6422
优漫卡通,http://101.17.192.171:8007/rtp/239.253.93.204:6382
优漫卡通,http://106.113.149.200:2222/rtp/239.254.201.203:7178
动漫秀场,http://101.17.192.171:8007/rtp/239.253.93.225:6403
动漫秀场,http://106.113.149.200:2222/rtp/239.254.201.165:6358
嘉佳卡通,http://101.17.192.171:8007/rtp/239.253.93.203:6381
嘉佳卡通,http://106.113.149.200:2222/rtp/239.254.201.201:7269
嘉佳卡通,http://114.254.35.75:18888/rtp/239.3.1.147:9268
新动漫,http://101.17.192.171:8007/rtp/239.253.93.217:6395
新动漫,http://106.113.149.200:2222/rtp/239.254.201.158:7170
金鹰卡通,http://101.17.192.171:8007/rtp/239.253.92.163:8055
金鹰卡通,http://106.113.149.200:2222/rtp/239.254.200.92:9252
金鹰卡通,http://114.254.35.75:18888/rtp/239.3.1.51:9252
党教,http://101.17.192.171:8007/rtp/239.253.92.125:6024

卫视频道,#genre#
BRTV北京卫视,http://114.254.35.75:18888/rtp/239.3.1.241:8000
三沙卫视,http://114.254.35.75:18888/rtp/239.3.1.155:4120
东南卫视,http://114.254.35.75:18888/rtp/239.3.1.156:8148
东南卫视,http://101.17.192.171:8007/rtp/239.253.92.201:6146
东南卫视,http://106.113.149.200:2222/rtp/239.254.201.13:6291
东方卫视,http://114.254.35.75:18888/rtp/239.3.1.136:8032
东方卫视,http://101.17.192.171:8007/rtp/239.253.92.89:8019
东方卫视,http://106.113.149.200:2222/rtp/239.254.200.52:8032
云南卫视,http://114.254.35.75:18888/rtp/239.3.1.26:8108
云南卫视,http://106.113.149.200:2222/rtp/239.254.200.68:8108
兵团卫视,http://114.254.35.75:18888/rtp/239.3.1.144:4120
兵团卫视,http://101.17.192.171:8007/rtp/239.253.93.176:6344
内蒙古卫视,http://114.254.35.75:18888/rtp/239.3.1.43:8176
内蒙古卫视,http://106.113.149.200:2222/rtp/239.254.200.84:8176
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.1:5214
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.3:5227
凤凰卫视,http://106.113.149.200:2222/rtp/239.254.201.2:5226
北京卫视,http://101.17.192.171:8007/rtp/239.253.92.87:8014
北京卫视,http://106.113.149.200:2222/rtp/239.254.200.47:8024
南方卫视,http://114.254.35.75:18888/rtp/239.3.1.161:8001
厦门卫视,http://114.254.35.75:18888/rtp/239.3.1.143:4120
吉林卫视,http://114.254.35.75:18888/rtp/239.3.1.240:8172
吉林卫视,http://101.17.192.171:8007/rtp/239.253.92.202:6147
吉林卫视,http://106.113.149.200:2222/rtp/239.254.201.15:6339
四川卫视,http://101.17.192.171:8007/rtp/239.253.92.16:6043
四川卫视,http://106.113.149.200:2222/rtp/239.254.200.202:6325
四川卫视,http://114.254.35.75:18888/rtp/239.3.1.29:8288
天津卫视,http://114.254.35.75:18888/rtp/239.3.1.141:1234
天津卫视,http://101.17.192.171:8007/rtp/239.253.92.91:8021
天津卫视,http://106.113.149.200:2222/rtp/239.254.200.54:1234
宁夏卫视,http://114.254.35.75:18888/rtp/239.3.1.46:8124
宁夏卫视,http://106.113.149.200:2222/rtp/239.254.200.87:8124
安徽卫视,http://114.254.35.75:18888/rtp/239.3.1.211:8064
安徽卫视,http://101.17.192.171:8007/rtp/239.253.92.209:6566
安徽卫视,http://106.113.149.200:2222/rtp/239.254.200.163:6000
山东卫视,http://114.254.35.75:18888/rtp/239.3.1.209:8052
山东卫视,http://101.17.192.171:8007/rtp/239.253.92.207:8109
山东卫视,http://106.113.149.200:2222/rtp/239.254.200.55:8052
山西卫视,http://106.113.149.200:2222/rtp/239.254.200.83:8172
山西卫视,http://114.254.35.75:18888/rtp/239.3.1.42:8172
广东卫视,http://101.17.192.171:8007/rtp/239.253.92.206:8108
广东卫视,http://114.254.35.75:18888/rtp/239.3.1.142:8048
广东卫视,http://106.113.149.200:2222/rtp/239.254.200.56:8048
广西卫视,http://101.17.192.171:8007/rtp/239.253.92.76:8043
广西卫视,http://106.113.149.200:2222/rtp/239.254.200.80:8300
广西卫视,http://114.254.35.75:18888/rtp/239.3.1.39:8300
新疆卫视,http://114.254.35.75:18888/rtp/239.3.1.48:8160
新疆卫视,http://106.113.149.200:2222/rtp/239.254.200.89:8160
江苏卫视,http://114.254.35.75:18888/rtp/239.3.1.135:8028
江苏卫视,http://101.17.192.171:8007/rtp/239.253.92.88:8018
江苏卫视,http://106.113.149.200:2222/rtp/239.254.200.51:8028
江西卫视,http://101.17.192.171:8007/rtp/239.253.92.19:6145
江西卫视,http://114.254.35.75:18888/rtp/239.3.1.123:8164
江西卫视,http://106.113.149.200:2222/rtp/239.254.201.12:6290
河北卫视,http://101.17.192.171:8007/rtp/239.253.92.154:6011
河北卫视,http://114.254.35.75:18888/rtp/239.3.1.148:8072
河北卫视,http://106.113.149.200:2222/rtp/239.254.200.174:6000
河南卫视,http://101.17.192.171:8007/rtp/239.253.92.137:6144
河南卫视,http://106.113.149.200:2222/rtp/239.254.201.16:7174
河南卫视,http://114.254.35.75:18888/rtp/239.3.1.27:8128
浙江卫视,http://101.17.192.171:8007/rtp/239.253.92.90:8020
浙江卫视,http://114.254.35.75:18888/rtp/239.3.1.137:8036
浙江卫视,http://106.113.149.200:2222/rtp/239.254.200.53:8036
海南卫视,http://101.17.192.171:8007/rtp/239.253.93.155:6323
海南卫视,http://114.254.35.75:18888/rtp/239.3.1.45:8304
海南卫视,http://106.113.149.200:2222/rtp/239.254.201.125:6288
深圳卫视,http://114.254.35.75:18888/rtp/239.3.1.134:8020
深圳卫视,http://101.17.192.171:8007/rtp/239.253.92.86:8017
深圳卫视,http://106.113.149.200:2222/rtp/239.254.200.50:8020
湖北卫视,http://101.17.192.171:8007/rtp/239.253.92.210:6567
湖北卫视,http://114.254.35.75:18888/rtp/239.3.1.138:8044
湖北卫视,http://106.113.149.200:2222/rtp/239.254.200.164:6000
湖南卫视,http://101.17.192.171:8007/rtp/239.253.92.84:8015
湖南卫视,http://114.254.35.75:18888/rtp/239.3.1.132:8012
湖南卫视,http://106.113.149.200:2222/rtp/239.254.200.48:8012
甘肃卫视,http://114.254.35.75:18888/rtp/239.3.1.49:8188
甘肃卫视,http://106.113.149.200:2222/rtp/239.254.200.90:8188
西藏卫视,http://106.113.149.200:2222/rtp/239.254.200.88:8164
西藏卫视,http://114.254.35.75:18888/rtp/239.3.1.47:8164
贵州卫视,http://114.254.35.75:18888/rtp/239.3.1.149:8076
贵州卫视,http://101.17.192.171:8007/rtp/239.253.92.105:6055
贵州卫视,http://106.113.149.200:2222/rtp/239.254.201.20:6315
辽宁卫视,http://101.17.192.171:8007/rtp/239.253.92.115:6056
辽宁卫视,http://114.254.35.75:18888/rtp/239.3.1.210:8056
辽宁卫视,http://106.113.149.200:2222/rtp/239.254.200.57:8056
重庆卫视,http://101.17.192.171:8007/rtp/239.253.92.10:6053
重庆卫视,http://114.254.35.75:18888/rtp/239.3.1.122:8160
重庆卫视,http://106.113.149.200:2222/rtp/239.254.200.203:6323
陕西卫视,http://106.113.149.200:2222/rtp/239.254.200.82:8140
陕西卫视,http://114.254.35.75:18888/rtp/239.3.1.41:8140
青海卫视,http://114.254.35.75:18888/rtp/239.3.1.44:8184
青海卫视,http://106.113.149.200:2222/rtp/239.254.200.85:8184
黑龙江卫视,http://101.17.192.171:8007/rtp/239.253.92.85:8016
黑龙江卫视,http://114.254.35.75:18888/rtp/239.3.1.133:8016
黑龙江卫视,http://106.113.149.200:2222/rtp/239.254.200.49:8016

直播,#genre#
慢直播10,http://101.17.192.171:8007/rtp/239.253.94.10:6609
辅视角3-标清,http://106.113.149.200:2222/rtp/239.254.201.88:6000
临时直播频道2,http://106.113.149.200:2222/rtp/239.254.201.65:6000
临时直播频道3,http://106.113.149.200:2222/rtp/239.254.201.66:6000
临时直播频道4,http://106.113.149.200:2222/rtp/239.254.201.67:6000
